
id,service_type,cancellation_policy,can_provide_oral_medication,can_provide_injected_medication,senior_dog_experience,special_needs_experience,takes_small_dogs,takes_medium_dogs,takes_large_dogs,takes_puppies,max_dogs,provider_id,fee,price,added
87428,boarding,strict,1,0,1,0,1,1,0,0,6,5990,0.2,37,"2017-05-26 00:47:23.688888"
87429,day-care,moderate,1,0,1,1,1,1,0,0,5,5990,0.2,27,"2017-05-26 00:47:23.688888"
87430,dog-walking,strict,1,0,1,0,1,1,1,1,3,5991,0.2,23,"2016-09-04 16:22:02.549625"
87431,day-care,strict,1,0,1,0,1,1,1,0,5,5992,0.2,26,"2016-11-05 13:28:16.395311"
87432,dog-walking,moderate,0,0,1,1,1,0,1,1,5,5993,0.2,21,"2016-06-27 03:30:51.902774"
87433,boarding,moderate,1,0,1,1,1,1,1,1,5,5994,0.2,36,"2017-05-12 06:40:18.504975"
87434,dog-walking,moderate,1,0,1,0,1,1,1,1,5,5994,0.2,22,"2017-05-12 06:40:18.504975"
87435,day-care,strict,1,0,1,1,1,1,0,1,3,5994,0.2,25,"2017-05-12 06:40:18.504975"
87436,boarding,strict,0,0,1,1,1,0,1,1,4,5995,0.2,35,"2017-07-08 09:01:26.853876"
87437,dog-walking,moderate,1,1,1,0,1,0,1,0,2,5995,0.2,19,"2017-07-08 09:01:26.853876"
87438,day-care,moderate,1,0,1,0,1,1,1,1,4,5995,0.2,21,"2017-07-08 09:01:26.853876"
87439,dog-walking,moderate,1,0,1,0,1,1,1,1,2,5996,0.15,27,"2015-12-16 23:00:17.606599"
87440,day-care,strict,1,1,1,0,1,0,1,0,1,5996,0.15,28,"2015-12-16 23:00:17.606599"
87441,day-care,flexible,1,0,1,0,0,1,1,1,6,5997,0.2,28,"2016-06-16 06:09:35.729663"
87442,boarding,strict,1,0,1,0,1,1,1,1,3,5998,0.15,34,"2016-02-10 08:34:23.190171"
87443,dog-walking,strict,1,1,1,0,1,0,1,1,4,5998,0.15,21,"2016-02-10 08:34:23.190171"
87444,boarding,flexible,1,0,1,0,1,0,1,1,4,5999,0.2,34,"2016-10-02 20:46:59.299672"
87445,boarding,strict,1,0,1,0,1,1,1,0,3,6000,0.2,31,"2016-09-21 00:40:01.018374"
87446,dog-walking,strict,1,0,1,0,1,1,1,1,3,6001,0.2,20,"2017-06-04 18:12:51.304376"
87447,day-care,strict,1,0,0,0,1,1,1,1,3,6001,0.2,27,"2017-06-04 18:12:51.304376"
87448,boarding,flexible,1,0,1,0,0,1,0,1,4,6002,0.2,31,"2017-02-21 18:01:32.360029"
87449,day-care,moderate,1,0,1,0,1,1,0,1,2,6002,0.2,27,"2017-02-21 18:01:32.360029"
87450,boarding,moderate,1,0,1,0,1,1,0,0,3,6003,0.2,34,"2017-02-02 10:11:37.977995"
87451,day-care,flexible,1,0,0,1,0,1,1,0,3,6003,0.2,23,"2017-02-02 10:11:37.977995"
87452,boarding,moderate,1,0,1,0,1,1,0,1,1,6004,0.2,29,"2016-12-07 18:04:08.595988"
87453,day-care,flexible,1,1,1,1,0,1,1,0,3,6004,0.2,27,"2016-12-07 18:04:08.595988"
87454,boarding,flexible,1,0,1,1,1,1,1,1,3,6005,0.2,29,"2016-05-05 04:37:28.362255"
87455,day-care,strict,1,0,1,0,1,1,0,0,7,6005,0.2,24,"2016-05-05 04:37:28.362255"
87456,boarding,flexible,1,0,1,0,1,1,0,0,3,6006,0.2,34,"2016-09-02 09:46:25.377636"
87457,day-care,moderate,1,0,1,0,1,1,1,1,5,6007,0.2,24,"2017-01-30 23:11:15.862970"
87458,boarding,strict,0,0,1,0,1,1,0,1,1,6008,0.2,38,"2017-02-05 14:31:41.994440"
87459,dog-walking,flexible,1,0,1,0,1,0,0,1,6,6008,0.2,23,"2017-02-05 14:31:41.994440"
87460,boarding,strict,1,1,1,0,1,1,1,0,2,6009,0.2,39,"2017-01-13 04:58:42.186493"
87461,dog-walking,moderate,1,0,1,0,1,1,1,0,3,6009,0.2,25,"2017-01-13 04:58:42.186493"
87462,day-care,flexible,0,0,1,0,1,0,1,0,7,6010,0.15,28,"2016-01-05 07:51:45.903272"
87463,boarding,moderate,1,0,1,1,1,1,1,1,5,6011,0.15,43,"2016-03-24 05:36:05.851117"
87464,boarding,flexible,1,1,1,0,1,1,0,0,4,6012,0.2,31,"2016-09-27 02:42:44.091667"
87465,dog-walking,moderate,1,1,1,0,1,1,0,1,4,6012,0.2,23,"2016-09-27 02:42:44.091667"
87466,day-care,flexible,1,0,1,0,1,1,1,1,6,6012,0.2,23,"2016-09-27 02:42:44.091667"
87467,boarding,strict,1,0,1,1,1,1,0,1,4,6013,0.2,33,"2017-07-06 09:26:50.392005"
87468,dog-walking,strict,1,0,1,0,1,1,0,1,4,6013,0.2,23,"2017-07-06 09:26:50.392005"
87469,day-care,moderate,1,1,1,0,1,1,1,1,2,6013,0.2,28,"2017-07-06 09:26:50.392005"
87470,boarding,moderate,1,0,1,0,1,0,1,1,1,6014,0.2,34,"2017-01-15 13:24:58.188773"
87471,boarding,moderate,1,0,1,1,1,1,0,1,7,6015,0.2,41,"2016-07-06 21:12:00.112402"
87472,day-care,strict,1,0,1,0,1,1,0,1,3,6015,0.2,30,"2016-07-06 21:12:00.112402"
87473,day-care,moderate,1,0,0,0,0,1,0,1,2,6016,0.2,28,"2016-05-19 07:42:46.930037"
87474,dog-walking,strict,1,0,1,0,1,0,0,0,4,6017,0.15,17,"2016-04-07 14:27:42.766526"
87475,boarding,strict,1,0,1,0,1,1,1,1,4,6018,0.2,34,"2017-01-25 14:33:35.563817"
87476,dog-walking,strict,1,0,1,0,1,0,1,1,3,6018,0.2,24,"2017-01-25 14:33:35.563817"
87477,day-care,strict,1,1,0,0,1,1,0,1,4,6019,0.2,25,"2016-12-18 08:10:03.641618"
87478,boarding,strict,0,1,0,0,1,1,0,0,2,6020,0.2,31,"2016-09-17 19:30:51.277565"
87479,dog-walking,flexible,1,0,1,0,1,1,1,1,2,6020,0.2,22,"2016-09-17 19:30:51.277565"
87480,day-care,strict,0,0,0,0,1,1,1,0,5,6020,0.2,23,"2016-09-17 19:30:51.277565"
87481,day-care,strict,0,0,1,0,1,1,0,1,2,6021,0.15,33,"2016-03-18 01:10:54.194011"
87482,boarding,flexible,0,0,1,0,1,1,0,1,2,6022,0.2,41,"2016-10-05 06:40:17.064943"
87483,day-care,moderate,1,0,1,0,1,1,0,1,4,6022,0.2,30,"2016-10-05 06:40:17.064943"
87484,boarding,flexible,1,0,1,0,1,1,0,1,2,6023,0.2,35,"2017-05-25 23:23:14.053730"
87485,dog-walking,strict,1,0,1,1,1,0,0,1,5,6024,0.15,24,"2016-02-22 21:45:40.164873"
87486,day-care,strict,1,0,1,0,1,1,1,1,3,6024,0.15,25,"2016-02-22 21:45:40.164873"
87487,day-care,moderate,1,1,1,0,0,1,0,0,4,6025,0.2,26,"2017-03-04 01:55:06.793908"
87488,boarding,strict,1,0,0,0,1,1,0,1,2,6026,0.15,35,"2016-02-01 21:27:45.779495"
87489,boarding,moderate,1,0,1,1,1,1,0,1,4,6027,0.2,33,"2016-08-14 17:37:23.255792"
87490,dog-walking,flexible,0,0,1,0,0,1,1,1,3,6027,0.2,23,"2016-08-14 17:37:23.255792"
87491,day-care,moderate,1,1,1,1,1,1,1,1,5,6027,0.2,25,"2016-08-14 17:37:23.255792"
87492,boarding,flexible,1,0,0,0,1,1,0,1,3,6028,0.2,39,"2017-06-26 12:31:19.663788"
87493,dog-walking,strict,1,1,1,1,1,1,0,1,4,6028,0.2,23,"2017-06-26 12:31:19.663788"
87494,day-care,moderate,1,0,1,0,1,1,1,1,3,6028,0.2,26,"2017-06-26 12:31:19.663788"
87495,boarding,flexible,1,0,1,1,1,1,0,0,2,6029,0.2,36,"2016-10-16 06:09:47.557766"
87496,dog-walking,strict,1,1,1,0,1,1,1,1,5,6029,0.2,27,"2016-10-16 06:09:47.557766"
87497,day-care,moderate,1,0,1,1,1,0,1,1,3,6029,0.2,26,"2016-10-16 06:09:47.557766"
87498,boarding,flexible,1,0,1,1,1,1,0,1,6,6030,0.2,28,"2017-04-29 16:46:42.046798"
87499,day-care,moderate,1,0,1,0,1,1,1,0,2,6030,0.2,24,"2017-04-29 16:46:42.046798"
87500,boarding,moderate,1,0,1,0,0,0,0,1,3,6031,0.2,34,"2017-03-18 16:40:28.651581"
87501,dog-walking,flexible,1,0,1,0,1,0,0,1,2,6031,0.2,22,"2017-03-18 16:40:28.651581"
87502,day-care,flexible,1,0,1,1,1,1,0,1,4,6031,0.2,29,"2017-03-18 16:40:28.651581"
87503,boarding,moderate,1,1,1,0,1,1,0,1,5,6032,0.2,39,"2016-06-15 03:55:59.600947"
87504,dog-walking,moderate,1,0,1,1,1,1,0,1,2,6032,0.2,19,"2016-06-15 03:55:59.600947"
87505,boarding,moderate,1,0,1,0,1,1,0,1,4,6033,0.2,39,"2016-12-30 15:03:22.762654"
87506,dog-walking,moderate,1,0,1,1,1,1,0,0,2,6034,0.2,22,"2016-09-05 04:39:07.729657"
87507,dog-walking,strict,1,0,1,0,1,1,0,1,3,6035,0.2,27,"2017-07-05 16:25:17.388978"
87508,day-care,flexible,0,1,1,0,1,1,1,1,4,6035,0.2,28,"2017-07-05 16:25:17.388978"
87509,dog-walking,strict,1,0,1,1,1,1,0,1,2,6036,0.15,21,"2016-03-09 10:09:28.915232"
87510,boarding,strict,1,0,1,0,1,1,0,0,5,6037,0.2,37,"2017-02-08 23:27:00.859901"
87511,day-care,flexible,1,0,0,0,1,1,1,1,4,6038,0.2,29,"2017-02-23 12:00:42.026244"
87512,boarding,flexible,1,0,1,0,1,1,0,1,5,6039,0.15,42,"2016-02-14 09:46:54.745620"
87513,dog-walking,flexible,1,0,1,0,0,1,1,1,1,6039,0.15,25,"2016-02-14 09:46:54.745620"
87514,day-care,strict,1,0,1,1,1,1,1,1,4,6040,0.2,26,"2017-01-30 14:39:13.138712"
87515,day-care,moderate,0,0,0,0,1,1,0,0,4,6041,0.2,25,"2017-04-04 11:46:03.119499"
87516,dog-walking,strict,0,0,0,1,1,1,1,1,3,6042,0.2,21,"2016-06-16 10:37:31.333632"
87517,day-care,flexible,1,0,1,0,1,1,1,0,3,6042,0.2,28,"2016-06-16 10:37:31.333632"
87518,boarding,strict,1,0,1,1,1,1,0,1,3,6043,0.2,41,"2016-08-27 10:52:49.080663"
87519,day-care,moderate,0,0,1,0,1,1,0,1,3,6043,0.2,27,"2016-08-27 10:52:49.080663"
87520,dog-walking,strict,1,1,1,0,1,0,0,0,5,6044,0.2,24,"2016-08-28 09:06:01.411390"
87521,day-care,strict,1,0,1,0,1,1,1,1,3,6044,0.2,22,"2016-08-28 09:06:01.411390"
87522,dog-walking,flexible,1,1,1,0,1,1,0,1,3,6045,0.2,20,"2017-05-25 07:35:26.746664"
87523,boarding,moderate,1,0,1,0,1,1,0,1,2,6046,0.15,32,"2015-10-23 04:44:00.991566"
87524,dog-walking,strict,1,1,1,0,1,1,0,0,6,6046,0.15,23,"2015-10-23 04:44:00.991566"
87525,day-care,moderate,1,0,1,1,1,1,1,1,6,6046,0.15,30,"2015-10-23 04:44:00.991566"
87526,boarding,moderate,1,0,1,0,1,0,0,1,1,6047,0.2,32,"2016-06-23 20:20:02.305912"
87527,dog-walking,strict,1,1,1,1,1,0,1,0,2,6047,0.2,21,"2016-06-23 20:20:02.305912"
87528,boarding,flexible,1,0,1,0,1,1,0,1,2,6048,0.2,35,"2016-05-11 01:17:26.316866"
87529,dog-walking,strict,1,0,0,0,0,1,1,1,4,6048,0.2,20,"2016-05-11 01:17:26.316866"
87530,day-care,strict,1,0,1,1,1,1,1,1,5,6048,0.2,29,"2016-05-11 01:17:26.316866"
87531,dog-walking,flexible,1,1,1,1,1,1,0,1,5,6049,0.2,26,"2016-11-15 18:19:16.473529"
87532,day-care,moderate,1,0,0,0,0,0,0,1,2,6049,0.2,30,"2016-11-15 18:19:16.473529"
87533,boarding,flexible,1,1,1,0,1,1,0,1,1,6050,0.2,34,"2016-07-21 09:15:33.301578"
87534,day-care,flexible,1,0,1,0,1,1,1,1,3,6050,0.2,28,"2016-07-21 09:15:33.301578"
87535,boarding,flexible,1,0,0,0,1,1,1,1,2,6051,0.15,30,"2016-03-17 12:08:46.900373"
87536,dog-walking,moderate,1,1,1,0,1,1,0,1,4,6051,0.15,22,"2016-03-17 12:08:46.900373"
87537,dog-walking,strict,1,0,1,1,1,1,1,1,7,6052,0.2,18,"2016-07-17 14:08:33.478911"
87538,day-care,strict,1,0,1,0,1,1,0,0,3,6052,0.2,32,"2016-07-17 14:08:33.478911"
87539,day-care,strict,1,0,0,1,1,1,0,1,5,6053,0.2,26,"2017-05-10 03:14:37.354045"
87540,day-care,strict,1,0,1,0,1,0,0,0,5,6054,0.2,30,"2017-05-08 08:23:40.699206"
87541,boarding,flexible,1,0,1,0,1,1,1,1,4,6055,0.2,32,"2016-08-28 04:29:06.219779"
87542,day-care,flexible,1,1,1,1,1,1,0,1,2,6055,0.2,29,"2016-08-28 04:29:06.219779"
87543,boarding,strict,1,0,1,0,1,0,1,1,4,6056,0.2,29,"2016-06-05 18:26:46.378700"
87544,boarding,moderate,1,0,1,1,1,0,1,1,2,6057,0.2,35,"2017-04-17 15:52:21.211207"
87545,day-care,flexible,0,0,0,0,1,1,0,0,3,6057,0.2,31,"2017-04-17 15:52:21.211207"
87546,boarding,strict,1,0,1,0,1,1,0,1,5,6058,0.2,34,"2016-08-18 21:20:26.065938"
87547,boarding,moderate,1,0,1,1,1,1,0,0,2,6059,0.2,29,"2016-08-05 12:49:11.919324"
87548,dog-walking,flexible,1,0,1,0,1,1,0,0,2,6059,0.2,24,"2016-08-05 12:49:11.919324"
87549,boarding,strict,1,0,1,0,1,1,1,1,1,6060,0.2,34,"2016-09-24 09:46:28.576544"
87550,day-care,strict,1,0,1,0,1,1,0,1,5,6060,0.2,22,"2016-09-24 09:46:28.576544"
87551,boarding,flexible,1,0,1,0,1,1,1,1,6,6061,0.2,28,"2017-06-19 20:49:14.579809"
87552,dog-walking,strict,1,1,1,1,1,1,0,1,4,6061,0.2,20,"2017-06-19 20:49:14.579809"
87553,boarding,moderate,1,0,1,0,1,1,1,0,5,6062,0.2,29,"2017-02-24 09:09:36.954753"
87554,dog-walking,moderate,1,0,1,0,1,1,1,1,5,6062,0.2,21,"2017-02-24 09:09:36.954753"
87555,day-care,moderate,1,0,1,0,1,1,1,0,5,6063,0.2,26,"2016-07-24 19:56:06.805267"
87556,boarding,moderate,1,0,1,0,1,1,1,0,1,6064,0.2,29,"2017-03-22 04:02:59.450188"
87557,day-care,flexible,0,1,1,1,1,1,0,1,3,6064,0.2,31,"2017-03-22 04:02:59.450188"
87558,boarding,moderate,1,0,1,0,1,1,1,0,2,6065,0.2,35,"2016-08-23 12:37:29.168996"
87559,day-care,moderate,1,0,1,1,1,0,1,1,1,6066,0.2,28,"2017-05-09 03:41:55.961381"
87560,dog-walking,moderate,1,0,1,1,1,1,1,1,3,6067,0.2,17,"2017-01-11 02:02:00.573089"
87561,dog-walking,strict,1,0,1,1,1,1,0,1,7,6068,0.2,20,"2017-01-03 01:37:41.803636"
87562,boarding,moderate,0,0,1,0,1,1,0,1,4,6069,0.2,29,"2017-04-02 22:09:20.414765"
87563,dog-walking,moderate,1,0,1,1,1,1,1,0,5,6069,0.2,18,"2017-04-02 22:09:20.414765"
87564,day-care,moderate,1,0,1,0,1,1,0,1,1,6069,0.2,30,"2017-04-02 22:09:20.414765"
87565,boarding,moderate,1,0,1,1,0,1,0,1,5,6070,0.2,42,"2016-06-26 02:29:36.137151"
87566,boarding,moderate,1,1,1,0,1,0,1,0,3,6071,0.2,36,"2016-11-16 06:36:20.082826"
87567,day-care,flexible,1,1,1,0,0,1,1,1,2,6071,0.2,22,"2016-11-16 06:36:20.082826"
87568,boarding,strict,1,1,1,0,1,1,0,1,3,6072,0.2,31,"2017-04-15 16:53:50.400087"
87569,dog-walking,strict,1,1,1,0,1,1,1,1,2,6072,0.2,20,"2017-04-15 16:53:50.400087"
87570,day-care,strict,1,0,1,0,1,0,0,0,2,6073,0.2,24,"2017-01-03 04:12:52.670759"
87571,boarding,strict,1,0,1,0,1,1,1,1,5,6074,0.2,25,"2016-07-19 05:56:25.269033"
87572,dog-walking,strict,1,0,1,0,1,1,1,1,5,6074,0.2,21,"2016-07-19 05:56:25.269033"
87573,day-care,strict,1,0,0,0,1,0,1,1,2,6074,0.2,26,"2016-07-19 05:56:25.269033"
87574,dog-walking,flexible,1,0,1,0,1,1,1,0,5,6075,0.2,21,"2016-07-02 16:49:15.075708"
87575,day-care,moderate,0,0,1,1,1,1,0,1,2,6075,0.2,29,"2016-07-02 16:49:15.075708"
87576,day-care,strict,1,1,1,0,0,1,1,1,3,6076,0.2,24,"2017-07-07 19:35:21.523813"
87577,day-care,flexible,1,0,0,1,1,1,0,1,3,6077,0.2,29,"2017-02-01 07:09:45.803932"
87578,boarding,strict,1,0,0,1,1,1,0,1,3,6078,0.2,31,"2017-06-13 09:23:19.870563"
87579,dog-walking,flexible,1,1,1,0,1,1,0,1,3,6078,0.2,24,"2017-06-13 09:23:19.870563"
87580,boarding,strict,0,0,0,1,1,1,0,1,2,6079,0.15,29,"2016-02-25 19:57:22.301431"
87581,day-care,strict,1,0,0,0,1,1,0,1,1,6079,0.15,31,"2016-02-25 19:57:22.301431"
87582,boarding,flexible,1,0,1,0,1,1,0,1,1,6080,0.2,35,"2016-08-19 12:00:30.128727"
87583,day-care,strict,1,0,1,0,1,1,0,1,2,6080,0.2,26,"2016-08-19 12:00:30.128727"
87584,boarding,strict,1,0,1,0,1,1,1,0,1,6081,0.2,26,"2017-04-20 20:40:35.165686"
87585,dog-walking,moderate,1,0,0,0,1,1,0,1,5,6081,0.2,28,"2017-04-20 20:40:35.165686"
87586,day-care,moderate,1,1,1,1,1,0,1,1,3,6082,0.2,24,"2017-03-15 03:03:47.939435"
87587,boarding,moderate,1,0,1,0,1,1,1,0,2,6083,0.2,37,"2017-05-10 19:45:12.739151"
87588,day-care,moderate,1,0,1,1,1,1,0,1,5,6083,0.2,26,"2017-05-10 19:45:12.739151"
87589,boarding,flexible,1,0,1,0,0,0,1,1,2,6084,0.2,29,"2017-06-23 01:43:08.240985"
87590,dog-walking,strict,1,0,0,0,1,1,0,0,3,6085,0.15,19,"2016-03-19 10:29:40.054505"
87591,boarding,moderate,1,0,1,0,1,1,0,1,2,6086,0.2,42,"2017-03-28 13:56:31.870484"
87592,day-care,strict,1,1,1,0,0,0,1,1,3,6086,0.2,26,"2017-03-28 13:56:31.870484"
87593,dog-walking,flexible,1,0,1,0,1,0,1,1,2,6087,0.2,20,"2017-02-07 08:25:33.879431"
87594,day-care,strict,1,0,1,1,1,1,1,1,2,6087,0.2,23,"2017-02-07 08:25:33.879431"
87595,dog-walking,moderate,0,0,1,0,1,1,0,1,3,6088,0.2,17,"2016-12-27 19:01:01.914188"
87596,day-care,flexible,1,1,1,0,1,1,0,1,5,6088,0.2,28,"2016-12-27 19:01:01.914188"
87597,dog-walking,strict,1,0,1,0,1,1,1,0,3,6089,0.2,26,"2017-07-07 17:12:23.213836"
87598,dog-walking,flexible,1,0,1,0,1,1,1,0,4,6090,0.15,22,"2016-03-01 04:30:34.407300"
87599,day-care,moderate,1,1,1,1,0,1,0,1,3,6090,0.15,24,"2016-03-01 04:30:34.407300"
87600,dog-walking,strict,1,1,1,0,1,0,1,1,3,6091,0.2,23,"2016-08-02 00:12:24.004559"
87601,dog-walking,flexible,1,1,1,0,0,1,1,0,1,6092,0.2,19,"2017-06-25 15:51:37.997649"
87602,dog-walking,strict,1,0,0,0,1,0,0,0,3,6093,0.2,22,"2016-07-16 06:46:26.863249"
87603,day-care,strict,1,0,1,1,1,1,0,1,5,6093,0.2,31,"2016-07-16 06:46:26.863249"
87604,boarding,flexible,1,0,1,0,0,1,0,1,2,6094,0.2,36,"2016-09-27 23:52:04.702076"
87605,dog-walking,moderate,1,0,1,0,1,1,0,0,4,6094,0.2,19,"2016-09-27 23:52:04.702076"
87606,day-care,flexible,0,0,1,0,1,1,0,0,4,6094,0.2,26,"2016-09-27 23:52:04.702076"
87607,boarding,strict,1,0,1,0,1,0,1,1,3,6095,0.2,31,"2017-02-10 20:48:09.603948"
87608,day-care,moderate,1,0,1,1,1,1,0,1,2,6095,0.2,25,"2017-02-10 20:48:09.603948"
87609,dog-walking,strict,1,0,1,0,0,0,1,1,5,6096,0.2,20,"2016-12-14 09:51:12.200793"
87610,day-care,moderate,1,0,1,0,1,1,0,1,4,6096,0.2,28,"2016-12-14 09:51:12.200793"
87611,dog-walking,moderate,1,0,1,0,1,1,1,0,3,6097,0.2,22,"2017-03-01 01:54:23.333515"
87612,boarding,strict,0,0,0,1,1,0,1,0,3,6098,0.2,35,"2016-08-31 00:03:10.400483"
87613,dog-walking,flexible,1,0,1,1,1,1,0,1,5,6098,0.2,22,"2016-08-31 00:03:10.400483"
87614,day-care,moderate,1,0,1,1,1,1,0,0,3,6098,0.2,27,"2016-08-31 00:03:10.400483"
87615,boarding,moderate,1,0,1,0,1,1,0,1,3,6099,0.2,38,"2016-11-19 08:30:30.730320"
87616,day-care,strict,1,0,0,0,0,0,0,1,2,6100,0.15,32,"2016-03-18 12:07:46.442967"
87617,boarding,strict,1,1,1,0,1,1,0,1,3,6101,0.2,32,"2016-11-16 21:19:48.103506"
87618,boarding,flexible,1,0,1,0,1,1,1,0,2,6102,0.2,37,"2016-06-17 01:35:58.752538"
87619,boarding,strict,1,0,1,1,1,1,1,1,2,6103,0.2,28,"2016-09-17 16:16:18.065016"
87620,dog-walking,flexible,1,1,1,0,1,0,0,1,4,6103,0.2,23,"2016-09-17 16:16:18.065016"
87621,boarding,moderate,1,0,0,0,1,1,1,0,6,6104,0.2,38,"2017-03-05 06:22:35.764152"
87622,dog-walking,moderate,1,0,1,0,1,1,1,1,3,6104,0.2,20,"2017-03-05 06:22:35.764152"
87623,boarding,flexible,1,1,1,0,1,1,1,0,3,6105,0.2,38,"2017-05-15 05:25:41.080969"
87624,day-care,flexible,1,0,1,1,1,1,1,1,1,6105,0.2,23,"2017-05-15 05:25:41.080969"
87625,boarding,flexible,1,0,1,0,1,0,0,1,8,6106,0.2,33,"2017-03-09 05:41:38.424626"
87626,dog-walking,moderate,1,0,1,0,1,1,1,1,3,6106,0.2,25,"2017-03-09 05:41:38.424626"
87627,day-care,moderate,1,1,1,0,1,0,0,1,1,6106,0.2,28,"2017-03-09 05:41:38.424626"
87628,boarding,moderate,1,0,1,1,1,1,1,0,3,6107,0.2,28,"2016-09-06 07:27:50.891491"
87629,dog-walking,moderate,1,0,1,1,1,0,1,1,2,6107,0.2,23,"2016-09-06 07:27:50.891491"
87630,dog-walking,strict,1,0,1,1,1,0,0,1,3,6108,0.15,24,"2016-04-18 21:30:21.799664"
87631,day-care,moderate,1,0,1,0,1,1,0,0,7,6108,0.15,32,"2016-04-18 21:30:21.799664"
87632,boarding,flexible,1,0,1,0,1,1,0,1,3,6109,0.2,41,"2017-03-22 10:05:34.674578"
87633,dog-walking,strict,0,0,1,1,1,1,0,1,5,6109,0.2,22,"2017-03-22 10:05:34.674578"
87634,dog-walking,strict,1,0,1,1,1,1,1,1,2,6110,0.2,26,"2017-04-09 04:33:12.655680"
87635,day-care,flexible,1,0,1,0,1,1,1,1,4,6110,0.2,30,"2017-04-09 04:33:12.655680"
87636,boarding,moderate,1,0,0,0,1,1,0,0,3,6111,0.2,31,"2017-05-19 07:46:13.055546"
87637,boarding,moderate,1,0,1,1,1,1,0,0,2,6112,0.15,41,"2016-03-19 12:06:53.800713"
87638,dog-walking,flexible,0,0,0,0,1,1,0,0,1,6112,0.15,23,"2016-03-19 12:06:53.800713"
87639,dog-walking,flexible,1,0,1,0,1,1,1,1,2,6113,0.15,20,"2015-09-25 23:35:00.374963"
87640,day-care,moderate,0,0,1,0,1,0,1,1,6,6113,0.15,30,"2015-09-25 23:35:00.374963"
87641,boarding,moderate,1,0,1,1,1,1,1,1,2,6114,0.2,35,"2016-12-27 09:15:34.219522"
87642,day-care,strict,1,0,1,0,1,1,0,1,3,6114,0.2,26,"2016-12-27 09:15:34.219522"
87643,boarding,flexible,1,0,1,0,1,1,1,1,3,6115,0.2,35,"2017-04-22 00:56:21.377871"
87644,day-care,strict,1,0,1,0,1,0,0,0,5,6115,0.2,25,"2017-04-22 00:56:21.377871"
87645,boarding,flexible,1,0,1,0,0,1,0,1,6,6116,0.2,34,"2016-11-05 09:42:50.681644"
87646,day-care,flexible,1,0,1,0,0,0,1,1,1,6116,0.2,31,"2016-11-05 09:42:50.681644"
87647,day-care,moderate,0,1,1,1,0,0,0,1,1,6117,0.2,30,"2016-12-31 04:13:04.979646"
87648,dog-walking,strict,1,0,1,0,1,1,1,1,4,6118,0.2,22,"2017-01-04 17:13:56.699179"
87649,day-care,moderate,0,0,1,0,1,0,1,1,3,6118,0.2,27,"2017-01-04 17:13:56.699179"
87650,boarding,strict,1,1,1,0,0,1,0,1,6,6119,0.2,30,"2017-04-21 17:13:40.709043"
87651,dog-walking,flexible,1,0,1,1,1,0,1,1,2,6120,0.2,23,"2016-08-25 09:26:39.355759"
87652,boarding,flexible,1,1,1,1,1,1,0,1,3,6121,0.2,28,"2016-07-20 08:55:17.101839"
87653,dog-walking,moderate,1,0,1,0,1,1,0,1,5,6122,0.2,26,"2016-12-01 12:04:03.418768"
87654,day-care,flexible,1,1,1,0,1,1,1,1,3,6122,0.2,27,"2016-12-01 12:04:03.418768"
87655,dog-walking,strict,1,0,1,0,1,1,0,0,4,6123,0.15,20,"2016-03-22 07:52:30.566698"
87656,day-care,strict,1,0,1,0,1,1,1,1,3,6123,0.15,29,"2016-03-22 07:52:30.566698"
87657,boarding,moderate,1,0,1,0,1,1,0,1,5,6124,0.2,31,"2016-08-08 03:48:13.075265"
87658,dog-walking,flexible,1,0,1,0,1,0,1,1,4,6125,0.2,26,"2017-05-07 08:37:32.116691"
87659,day-care,moderate,1,1,1,1,1,1,1,1,7,6125,0.2,22,"2017-05-07 08:37:32.116691"
87660,boarding,moderate,1,0,1,1,1,1,0,1,4,6126,0.15,37,"2015-12-30 16:57:50.737379"
87661,boarding,moderate,1,1,1,0,1,1,1,1,4,6127,0.15,32,"2015-11-22 19:07:28.810770"
87662,day-care,flexible,1,1,1,1,1,1,1,1,1,6127,0.15,29,"2015-11-22 19:07:28.810770"
87663,boarding,flexible,1,0,1,0,1,0,1,1,4,6128,0.2,37,"2016-10-30 21:18:06.435488"
87664,day-care,moderate,1,0,1,1,1,1,0,1,3,6128,0.2,32,"2016-10-30 21:18:06.435488"
87665,boarding,strict,1,0,1,0,1,0,0,1,7,6129,0.2,30,"2017-07-06 06:13:31.882069"
87666,dog-walking,strict,1,0,1,0,1,1,0,1,2,6130,0.2,18,"2016-05-04 11:29:57.131920"
87667,day-care,flexible,1,0,1,1,1,1,0,1,5,6130,0.2,30,"2016-05-04 11:29:57.131920"
87668,dog-walking,strict,1,0,1,0,0,1,0,1,2,6131,0.2,22,"2016-11-30 11:58:17.200690"
87669,boarding,moderate,1,0,1,0,0,1,1,1,6,6132,0.2,32,"2016-11-04 15:22:11.393812"
87670,dog-walking,flexible,1,0,1,0,1,1,0,1,2,6132,0.2,25,"2016-11-04 15:22:11.393812"
87671,day-care,strict,1,0,1,0,1,1,0,1,3,6132,0.2,23,"2016-11-04 15:22:11.393812"
87672,boarding,flexible,1,0,1,0,1,1,1,0,3,6133,0.2,35,"2016-08-01 10:39:13.014859"
87673,day-care,flexible,1,0,1,1,1,0,0,1,4,6133,0.2,28,"2016-08-01 10:39:13.014859"
87674,boarding,moderate,1,0,1,0,1,1,1,1,6,6134,0.2,32,"2017-07-01 02:24:27.092956"
